alpha_id,segment,cost_bps_one_way,bars,net_return,net_sharpe_daily,max_drawdown,avg_turnover_per_bar,annualized_turnover,trade_events,mean_abs_position,gross_bps_per_unit_turnover
LT_OFI_0240,train,10.0,1893888,-0.8381414738422297,-2.7968603652722615,-0.853611615532593,0.0011032859329134226,579.9315066933632,16411,0.2172905057668686,1.6696429319326385
LT_OFI_0240,validation,10.0,631296,-0.523403665347361,-5.26532168314958,-0.5265550511240282,0.0011793201556429267,619.4274616241455,5783,0.2041129618883133,0.1683434147802025
LT_OFI_0720,train,0.0,1893888,1.7683183157685924,1.4523135163760366,-0.2390574737480482,0.0003828103363048285,201.22055093944073,6388,0.23348942399024963,15.546490586664579
LT_OFI_0720,validation,0.0,631296,-0.018922068582504337,-0.052939625031724925,-0.2197784645441524,0.0004159696982242167,218.48439449071884,2276,0.21019428968429565,-0.3057818576148181
LT_OFI_0720,train,2.0,1893888,1.3946562268973004,1.2654485585580608,-0.24519634678626245,0.0003828103363048285,201.22055093944073,6388,0.23348942399024963,15.546490586664579
LT_OFI_0720,validation,2.0,631296,-0.06911898831084362,-0.39922989065087267,-0.23846383176551356,0.0004159696982242167,218.48439449071884,2276,0.21019428968429565,-0.3057818576148181
LT_OFI_0720,train,6.0,1893888,0.7918134715422087,0.8916369815712607,-0.3092828282943193,0.0003828103363048285,201.22055093944073,6388,0.23348942399024963,15.546490586664579
LT_OFI_0720,validation,6.0,631296,-0.16194259504009578,-1.0915684734952793,-0.27450415989594823,0.0004159696982242167,218.48439449071884,2276,0.21019428968429565,-0.3057818576148181
LT_OFI_0720,train,10.0,1893888,0.34071411811529173,0.5178678397854636,-0.4099335501826926,0.0003828103363048285,201.22055093944073,6388,0.23348942399024963,15.546490586664579
LT_OFI_0720,validation,10.0,631296,-0.24551423111951454,-1.7827137420903658,-0.30884056850927377,0.0004159696982242167,218.48439449071884,2276,0.21019428968429565,-0.3057818576148181
LT_VOL_ADJ_MOM_0720,train,0.0,1893888,1.188352859504778,1.3667796615941492,-0.21053203503446338,0.0003716692444868386,195.36434756219387,3502,0.20255084335803986,12.31199253390429
LT_VOL_ADJ_MOM_0720,validation,0.0,631296,0.14674319856748785,1.0386757683712071,-0.0835857686697632,0.00037842776509933174,198.76589441299438,1189,0.19945256412029266,6.270652377575735
LT_VOL_ADJ_MOM_0720,train,2.0,1893888,0.9009793957687975,1.1439771180660814,-0.22843604498201842,0.0003716692444868386,195.36434756219387,3502,0.20255084335803986,12.31199253390429
LT_VOL_ADJ_MOM_0720,validation,2.0,631296,0.0932609746650328,0.7063118506991958,-0.0876639582543699,0.00037842776509933174,198.76589441299438,1189,0.19945256412029266,6.270652377575735
LT_VOL_ADJ_MOM_0720,train,6.0,1893888,0.43446559177185384,0.6991952166045222,-0.2630371975847332,0.0003716692444868386,195.36434756219387,3502,0.20255084335803986,12.31199253390429
LT_VOL_ADJ_MOM_0720,validation,6.0,631296,-0.006342572819996617,0.04500321105364948,-0.11428130564309569,0.00037842776509933174,198.76589441299438,1189,0.19945256412029266,6.270652377575735
LT_VOL_ADJ_MOM_0720,train,10.0,1893888,0.08241301031860027,0.25568587351358424,-0.3515960404925299,0.0003716692444868386,195.36434756219387,3502,0.20255084335803986,12.31199253390429
