alpha_id,segment,benchmark,window_minutes,sampling_minutes,mean,std,p05,p95
LT_FUNDING_CROWDING_MR_30D,validation,ETH_SPOT,1440,5,0.006590208894037205,0.6818607625890614,-0.903131042675946,0.9078032805174778
LT_PERP_SPOT_BASIS_MR_10080,train,BTC_SPOT,60,5,-0.0015195426699507418,0.8709403278235971,-1.1117287222289396,1.033165495415208
LT_PERP_SPOT_BASIS_MR_10080,validation,BTC_SPOT,60,5,-0.056739411718309464,0.8903048698862284,-1.165706318126351,1.0416542088817844
LT_PERP_SPOT_BASIS_MR_10080,train,BTC_SPOT,240,5,-0.0021147897469045575,0.8646041788592126,-1.1028942763294027,1.0174024265192698
LT_PERP_SPOT_BASIS_MR_10080,validation,BTC_SPOT,240,5,-0.0568406267590587,0.8862667871594441,-1.1452103091404942,1.0229783657276383
LT_PERP_SPOT_BASIS_MR_10080,train,BTC_SPOT,1440,5,-0.0018445912014057805,0.8277648891228256,-1.0951713669562224,1.009341437110492
LT_PERP_SPOT_BASIS_MR_10080,validation,BTC_SPOT,1440,5,-0.06255535505843211,0.8588723559537222,-1.135395274706311,1.0138403970061192
LT_PERP_SPOT_BASIS_MR_10080,train,ETH_SPOT,60,5,-0.009073784317171317,0.6357767347729941,-0.9944993236243846,0.9305528017105333
LT_PERP_SPOT_BASIS_MR_10080,validation,ETH_SPOT,60,5,-0.03680362282828551,0.6972145684375204,-1.0680033043816788,1.012458452475751
LT_PERP_SPOT_BASIS_MR_10080,train,ETH_SPOT,240,5,-0.008783347406102307,0.6161943886275753,-0.9349359043861097,0.8826590254431723
LT_PERP_SPOT_BASIS_MR_10080,validation,ETH_SPOT,240,5,-0.03326049481592361,0.6708542509663742,-0.9814420831409332,0.9397908661556091
LT_PERP_SPOT_BASIS_MR_10080,train,ETH_SPOT,1440,5,-0.01013374743617849,0.5830520507663945,-0.8879898413173651,0.8291677455240073
LT_PERP_SPOT_BASIS_MR_10080,validation,ETH_SPOT,1440,5,-0.03337175825284755,0.6487444491800086,-0.9177668996848317,0.8892694617706871
LT_PERP_SPOT_BASIS_MR_43200,train,BTC_SPOT,60,5,0.002117277093242382,0.8948544894125936,-1.1659191795642365,1.0340703941037817
LT_PERP_SPOT_BASIS_MR_43200,validation,BTC_SPOT,60,5,-0.04287543262588821,0.8613187052509245,-1.1396712419216497,1.0404566930789814
LT_PERP_SPOT_BASIS_MR_43200,train,BTC_SPOT,240,5,0.001604307580167519,0.8914050881339217,-1.1593114530692983,1.0181280554551835
LT_PERP_SPOT_BASIS_MR_43200,validation,BTC_SPOT,240,5,-0.04304173491455277,0.8578634492289848,-1.1276843047512484,1.0242212588617243
LT_PERP_SPOT_BASIS_MR_43200,train,BTC_SPOT,1440,5,-0.00029232267083190985,0.8626629950865139,-1.1536640652960504,1.0098329537157076
LT_PERP_SPOT_BASIS_MR_43200,validation,BTC_SPOT,1440,5,-0.04482400808656863,0.8353330898171193,-1.1125584418265817,1.015075703447371
LT_PERP_SPOT_BASIS_MR_43200,train,ETH_SPOT,60,5,-0.0037388266912628367,0.660537470884116,-1.0287683057661272,0.9472865364883248
LT_PERP_SPOT_BASIS_MR_43200,validation,ETH_SPOT,60,5,-0.03253804864157982,0.667876418812558,-1.035516634403853,0.98129396515267
LT_PERP_SPOT_BASIS_MR_43200,train,ETH_SPOT,240,5,-0.003873796214480014,0.6400417532344036,-0.9801385713111543,0.9024313651632997
LT_PERP_SPOT_BASIS_MR_43200,validation,ETH_SPOT,240,5,-0.030479762868053418,0.645595040497139,-0.9548098353581626,0.9208041311893694
LT_PERP_SPOT_BASIS_MR_43200,train,ETH_SPOT,1440,5,-0.005993876052003018,0.6110245568206433,-0.9469845910056421,0.8580321539367965
LT_PERP_SPOT_BASIS_MR_43200,validation,ETH_SPOT,1440,5,-0.02776517628621282,0.6284298412249343,-0.8880719452215828,0.8648567980260269
LT_BTC_ETH_RATIO_MR_7D,train,BTC_SPOT,60,5,-0.006129141206614371,0.959068635696673,-1.1850460402524114,1.0418474028656903
LT_BTC_ETH_RATIO_MR_7D,validation,BTC_SPOT,60,5,-0.08383325126142899,0.9735406474744076,-1.1423465102140231,1.0499928521828068
LT_BTC_ETH_RATIO_MR_7D,train,BTC_SPOT,240,5,-0.006275812224088237,0.953560529707193,-1.178217063833025,1.023191357849073
